dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=50,thinking,3,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,0.4334,1.912,0.06167482493345067,1,0
GSM8K n=50,thinking,3,"token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.1663,0.832,0.40917845465045066,1,0
GSM8K n=50,thinking,3,"token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.2997,1.403,0.16678037969185233,1,0
GSM8K n=50,thinking,3,"paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,-0.2753,-1.452,0.15286474994387822,0,0
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency",50,0.7054,4.289,8.402392945727755e-05,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",50,0.8777,4.545,3.614699271481392e-05,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.67,3.73,0.000497358546469151,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",50,0.3041,1.63,0.10943206252158233,1,0
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.1918,1.184,0.24215479444786747,1,0
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.2719,1.534,0.1314126396810873,1,0
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,0.6229,2.995,0.00429300904210983,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.4428,2.452,0.01781963628638983,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.5416,2.734,0.00867398194397273,1,1
GSM8K n=50,thinking,4,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.0935,0.503,0.6170216513042539,1,0
GSM8K n=50,thinking,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,0.4879,2.251,0.028908533075769238,1,1
GSM8K n=50,thinking,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.246,1.233,0.22362225913577904,1,0
GSM8K n=50,thinking,4,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.3769,1.795,0.07880663477536709,1,0
GSM8K n=50,thinking,4,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,-0.1627,-0.877,0.385017826674674,0,0
